"","...1","arm","cancer.type","mean","arm_stats"
"88",380,"X9p","LIHC",0.259668508287293,"LIHC: 0.34 (8.01E-11)"
"89",381,"X9p","LUAD",0.467196819085487,"LUAD: 0.58 (0.00E+00)"
"90",382,"X9p","LUSC",0.576763485477178,"LUSC: 0.72 (0.00E+00)"
"91",383,"X9p","PAAD",0.349397590361446,"PAAD: 0.42 (0.00E+00)"
"92",387,"X9p","SARC",0.217741935483871,"SARC: 0.43 (3.33E-05)"
"93",388,"X9p","STAD",0.271662763466042,"STAD: 0.40 (2.77E-11)"
"94",392,"X9q","BLCA",0.373134328358209,"BLCA: 0.49 (0.00E+00)"
"95",393,"X9q","BRCA",0.208015267175573,"BRCA: 0.30 (3.14E-06)"
"96",395,"X9q","CHOL",0.472222222222222,"CHOL: 0.53 (6.67E-06)"
"97",397,"X9q","ESCA",0.208588957055215,"ESCA: 0.45 (4.62E-03)"
"98",401,"X9q","KIRC",0.242236024844721,"KIRC: 0.29 (0.00E+00)"
"99",403,"X9q","LIHC",0.251381215469613,"LIHC: 0.32 (1.82E-09)"
"100",404,"X9q","LUAD",0.41351888667992,"LUAD: 0.52 (0.00E+00)"
"101",405,"X9q","LUSC",0.4149377593361,"LUSC: 0.61 (0.00E+00)"
"102",421,"X10p","GBM",0.775043936731107,"GBM: 0.85 (0.00E+00)"
"103",422,"X10p","HNSC",0.2421875,"HNSC: 0.34 (1.83E-04)"
"104",423,"X10p","KICH",0.723076923076923,"KICH: 0.78 (0.00E+00)"
"105",428,"X10p","LUSC",0.338174273858921,"LUSC: 0.52 (1.00E-05)"
"106",432,"X10p","READ",0.225806451612903,NA
"107",433,"X10p","SARC",0.350806451612903,"SARC: 0.53 (7.97E-15)"
"108",438,"X10q","BLCA",0.278606965174129,"BLCA: 0.37 (2.47E-05)"
"109",440,"X10q","CESC",0.206081081081081,"CESC: 0.27 (2.70E-03)"
"110",443,"X10q","ESCA",0.214723926380368,NA
"111",444,"X10q","GBM",0.836555360281195,"GBM: 0.86 (0.00E+00)"
"112",446,"X10q","KICH",0.723076923076923,"KICH: 0.77 (0.00E+00)"
"113",450,"X10q","LUAD",0.256461232604374,NA
"114",451,"X10q","LUSC",0.336099585062241,"LUSC: 0.51 (3.45E-11)"
"115",455,"X10q","READ",0.245161290322581,NA
"116",456,"X10q","SARC",0.383064516129032,"SARC: 0.53 (0.00E+00)"
"117",461,"X11p","BLCA",0.427860696517413,"BLCA: 0.48 (1.21E-13)"
"118",463,"X11p","CESC",0.22972972972973,"CESC: 0.35 (3.06E-09)"
"119",466,"X11p","ESCA",0.251533742331288,NA
"120",474,"X11p","LUSC",0.236514522821577,NA
"121",476,"X11p","PCPG",0.304878048780488,"PCPG: 0.35 (0.00E+00)"
"122",479,"X11p","SARC",0.254032258064516,"SARC: 0.41 (1.34E-05)"
"123",485,"X11q","BRCA",0.237595419847328,"BRCA: 0.38 (0.00E+00)"
"124",486,"X11q","CESC",0.266891891891892,"CESC: 0.40 (0.00E+00)"
"125",487,"X11q","CHOL",0.222222222222222,NA
